"Probe"	"gennames"	"biotype_gene"
"11731773_at"	"KIAA1161"	"protein_coding"
"11731774_a_at"	"GABPB2"	"protein_coding"
"11731775_a_at"	"ADGRE1"	"protein_coding"
"11731776_at"	"CCL11"	"protein_coding"
"11731777_a_at"	"POMGNT2"	"protein_coding"
"11731778_a_at"	"MARC1"	"protein_coding"
"11731779_a_at"	"C11orf70"	"protein_coding"
"11731780_at"	"GSTA3"	"protein_coding"
"11731781_x_at"	"GSTA3"	"protein_coding"
"11731783_a_at"	"RASAL3"	"protein_coding"
"11731784_a_at"	"SNX9"	"protein_coding"
"11731785_at"	"IL9"	"protein_coding"
"11731786_a_at"	"ERC1"	"protein_coding"
"11731787_x_at"	"ERC1"	"protein_coding"
"11731788_a_at"	"NCKAP5L"	"protein_coding"
"11731789_a_at"	NA	NA
"11731790_a_at"	NA	NA
"11731791_a_at"	"SLC27A6"	"protein_coding"
"11731792_x_at"	"SLC27A6"	"protein_coding"
"11731793_a_at"	"DOK7"	"protein_coding"
"11731794_x_at"	NA	NA
"11731795_at"	"EPHX4"	"protein_coding"
"11731796_at"	"FAM47B"	"protein_coding"
"11731797_a_at"	"RGS13"	"protein_coding"
"11731798_a_at"	"LGALS2"	"protein_coding"
"11731799_at"	"UCN3"	"protein_coding"
"11731800_at"	"C3orf70"	"protein_coding"
"11731801_at"	"C3orf70"	"protein_coding"
"11731802_at"	"C3orf70"	"protein_coding"
"11731803_a_at"	NA	NA
"11731805_at"	NA	NA
"11731806_a_at"	"CHRM3"	"protein_coding"
"11731807_at"	"CATSPER1"	"protein_coding"
"11731808_at"	NA	NA
"11731809_at"	"FCRL4"	"protein_coding"
"11731810_x_at"	"FCRL4"	"protein_coding"
"11731811_a_at"	"FCRL4"	"protein_coding"
"11731812_a_at"	"FCRL4"	"protein_coding"
"11731813_a_at"	"GATA1"	"protein_coding"
"11731814_at"	"GATA1"	"protein_coding"
"11731815_at"	NA	NA
"11731816_at"	"FAM78B"	"protein_coding"
"11731817_s_at"	"RAB17"	"protein_coding"
"11731818_a_at"	"CD40"	"protein_coding"
"11731819_a_at"	NA	NA
"11731820_at"	"ADAM11"	"protein_coding"
"11731821_at"	"ADAM11"	"protein_coding"
"11731822_at"	NA	NA
"11731823_a_at"	"WISP1"	"protein_coding"
"11731824_at"	"GPR83"	"protein_coding"
"11731825_at"	"GPR83"	"protein_coding"
"11731826_at"	"ZNF425"	"protein_coding"
"11731827_at"	"ZNF425"	"protein_coding"
"11731828_at"	"GPC2"	"protein_coding"
"11731829_x_at"	"GPC2"	"protein_coding"
"11731830_a_at"	NA	NA
"11731831_x_at"	NA	NA
"11731832_x_at"	"DDO"	"protein_coding"
"11731833_a_at"	"AK4"	"protein_coding"
"11731834_a_at"	"IL24"	"protein_coding"
"11731835_a_at"	"RAPSN"	"protein_coding"
"11731836_a_at"	"SLC35C2"	"protein_coding"
"11731837_x_at"	"SLC35C2"	"protein_coding"
"11731838_at"	"SPTLC1"	"protein_coding"
"11731839_a_at"	"B4GALT6"	"protein_coding"
"11731840_a_at"	"B4GALT6"	"protein_coding"
"11731841_a_at"	"B4GALT6"	"protein_coding"
"11731842_a_at"	"B4GALT6"	"protein_coding"
"11731844_a_at"	NA	NA
"11731845_a_at"	"IGSF3"	"protein_coding"
"11731846_a_at"	"SYTL3"	"protein_coding"
"11731847_a_at"	"RBM41"	"protein_coding"
"11731849_a_at"	NA	NA
"11731850_a_at"	NA	NA
"11731851_x_at"	"SLC30A5"	"protein_coding"
"11731852_at"	"LOR"	"protein_coding"
"11731853_x_at"	NA	NA
"11731854_at"	"C8G"	"protein_coding"
"11731855_at"	"C10orf107"	"protein_coding"
"11731856_at"	"PAGE1"	"protein_coding"
"11731857_x_at"	"MT1H"	"protein_coding"
"11731858_a_at"	"ZNF529"	"protein_coding"
"11731859_at"	"ZNF720"	"protein_coding"
"11731860_x_at"	"ZNF720"	"protein_coding"
"11731861_at"	"ZNF720"	"protein_coding"
"11731862_at"	"CDH19"	"protein_coding"
"11731863_at"	NA	NA
"11731864_at"	NA	NA
"11731865_at"	"IGSF1"	"protein_coding"
"11731866_a_at"	"FCRLB"	"protein_coding"
"11731867_a_at"	"BICD2"	"protein_coding"
"11731868_a_at"	"BICD2"	"protein_coding"
"11731869_a_at"	"AZU1"	"protein_coding"
"11731870_a_at"	NA	NA
"11731871_a_at"	"CD209"	"protein_coding"
"11731872_x_at"	"CD209"	"protein_coding"
"11731873_a_at"	"CD209"	"protein_coding"
"11731874_x_at"	NA	NA
"11731875_at"	"TAB1"	"protein_coding"
"11731876_at"	"C5orf58"	"protein_coding"
"11731877_s_at"	"TAS2R5"	"protein_coding"
"11731878_a_at"	"REC114"	"protein_coding"
"11731879_a_at"	"NLRP1"	"protein_coding"
"11731880_at"	"NLRP1"	"protein_coding"
"11731881_a_at"	"PPP2R1B"	"protein_coding"
"11731882_a_at"	NA	NA
"11731883_a_at"	"CCDC150"	"protein_coding"
"11731884_x_at"	"PTCRA"	"protein_coding"
"11731885_a_at"	"COX4I2"	"protein_coding"
"11731886_at"	NA	NA
"11731887_at"	"KIF14"	"protein_coding"
"11731888_a_at"	"KIF14"	"protein_coding"
"11731889_s_at"	"EDA2R"	"protein_coding"
"11731890_a_at"	"ADAMTS16"	"protein_coding"
"11731892_a_at"	"MACROD2"	"protein_coding"
"11731893_s_at"	NA	NA
"11731894_a_at"	"KCNN3"	"protein_coding"
"11731895_x_at"	"EPS8L1"	"protein_coding"
"11731896_a_at"	"TNFSF4"	"protein_coding"
"11731897_a_at"	NA	NA
"11731898_at"	NA	NA
"11731899_s_at"	"PPAT"	"protein_coding"
"11731900_s_at"	"PPAT"	"protein_coding"
"11731901_a_at"	NA	NA
"11731902_a_at"	"AXDND1"	"protein_coding"
"11731903_at"	"CD207"	"protein_coding"
"11731904_a_at"	"CRISP1"	"protein_coding"
"11731905_a_at"	"CRISP1"	"protein_coding"
"11731906_at"	"PRRG3"	"protein_coding"
"11731907_s_at"	"FBXO11"	"protein_coding"
"11731908_at"	NA	NA
"11731909_a_at"	NA	NA
"11731910_at"	"RIMBP2"	"protein_coding"
"11731911_a_at"	"GPR12"	"protein_coding"
"11731912_s_at"	"GPR12"	"protein_coding"
"11731913_at"	"GPR12"	"protein_coding"
"11731914_at"	"AMIGO1"	"protein_coding"
"11731915_a_at"	NA	NA
"11731916_at"	"KCNA3"	"protein_coding"
"11731917_at"	NA	NA
"11731918_a_at"	"TMPO"	"protein_coding"
"11731919_a_at"	"TMPO"	"protein_coding"
"11731920_at"	"RSG1"	"protein_coding"
"11731921_at"	NA	NA
"11731922_x_at"	NA	NA
"11731923_a_at"	"POFUT2"	"protein_coding"
"11731924_a_at"	NA	NA
"11731925_at"	"CRCT1"	"protein_coding"
"11731926_a_at"	"TRPM3"	"protein_coding"
"11731927_at"	NA	NA
"11731928_a_at"	"IZUMO2"	"protein_coding"
"11731929_at"	"DEFB127"	"protein_coding"
"11731930_a_at"	"OPALIN"	"protein_coding"
"11731931_at"	"KIAA1755"	"protein_coding"
"11731932_a_at"	"KANK1"	"protein_coding"
"11731933_a_at"	"GABRA2"	"protein_coding"
"11731934_at"	"KCNN1"	"protein_coding"
"11731935_a_at"	"KCNN1"	"protein_coding"
"11731936_at"	"KCNN1"	"protein_coding"
"11731937_s_at"	"HFM1"	"protein_coding"
"11731938_a_at"	"FTCD"	"protein_coding"
"11731939_a_at"	"UCP3"	"protein_coding"
"11731940_a_at"	"UCP3"	"protein_coding"
"11731941_at"	"PRSS33"	"protein_coding"
"11731942_a_at"	NA	NA
"11731944_at"	"IGSF5"	"protein_coding"
"11731945_a_at"	"WDR38"	"protein_coding"
"11731946_at"	NA	NA
"11731947_at"	NA	NA
"11731948_a_at"	NA	NA
"11731949_a_at"	NA	NA
"11731950_x_at"	NA	NA
"11731951_at"	"B3GNT4"	"protein_coding"
"11731952_s_at"	"ODF3L2"	"protein_coding"
"11731953_a_at"	"SLC4A8"	"protein_coding"
"11731954_a_at"	NA	NA
"11731955_a_at"	NA	NA
"11731956_at"	NA	NA
"11731957_at"	"GUCA2A"	"protein_coding"
"11731959_x_at"	"FOLH1"	"protein_coding"
"11731960_a_at"	NA	NA
"11731961_s_at"	"TRIM36"	"protein_coding"
"11731962_a_at"	NA	NA
"11731963_a_at"	NA	NA
"11731964_at"	"PODNL1"	"protein_coding"
"11731965_a_at"	"PODNL1"	"protein_coding"
"11731966_x_at"	"PODNL1"	"protein_coding"
"11731967_a_at"	"CACNA1I"	"protein_coding"
"11731968_a_at"	"CACNA1I"	"protein_coding"
"11731969_at"	"SPCS2"	"protein_coding"
"11731970_at"	"HORMAD2"	"protein_coding"
"11731971_at"	"XKR4"	"protein_coding"
"11731972_a_at"	NA	NA
"11731973_at"	"SCNN1G"	"protein_coding"
"11731974_at"	NA	NA
"11731975_a_at"	"IGSF9"	"protein_coding"
"11731976_at"	NA	NA
"11731978_s_at"	NA	NA
"11731979_at"	NA	NA
"11731980_at"	"FNDC7"	"protein_coding"
"11731981_a_at"	"ADTRP"	"protein_coding"
"11731982_a_at"	"LYPD4"	"protein_coding"
"11731983_a_at"	NA	NA
"11731984_at"	"CERKL"	"protein_coding"
"11731985_a_at"	"HGFAC"	"protein_coding"
"11731986_a_at"	"XG"	"protein_coding"
"11731987_a_at"	NA	NA
"11731988_a_at"	"FAM19A3"	"protein_coding"
"11731989_at"	"HESX1"	"protein_coding"
"11731990_a_at"	"CYP3A43"	"protein_coding"
"11731991_at"	NA	NA
"11731992_x_at"	NA	NA
"11731993_at"	"CLECL1"	"protein_coding"
"11731996_at"	"TRIM58"	"protein_coding"
"11731997_at"	NA	NA
"11731998_s_at"	"CCDC88C"	"protein_coding"
"11731999_a_at"	"PDE11A"	"protein_coding"
"11732000_a_at"	"PDE11A"	"protein_coding"
"11732001_a_at"	"PDE11A"	"protein_coding"
"11732002_a_at"	"WDR86"	"protein_coding"
"11732003_a_at"	NA	NA
"11732004_a_at"	"ADAL"	"protein_coding"
"11732005_at"	"ADAL"	"protein_coding"
"11732006_s_at"	"ADAL"	"protein_coding"
"11732007_at"	"GLIS1"	"protein_coding"
"11732008_a_at"	NA	NA
"11732009_a_at"	"QRICH2"	"protein_coding"
"11732010_at"	NA	NA
"11732011_at"	NA	NA
"11732012_x_at"	NA	NA
"11732013_a_at"	NA	NA
"11732014_a_at"	NA	NA
"11732015_a_at"	"TTC23L"	"protein_coding"
"11732016_x_at"	NA	NA
"11732017_a_at"	"IL18RAP"	"protein_coding"
"11732018_a_at"	"HMGCLL1"	"protein_coding"
"11732019_a_at"	"IL15RA"	"protein_coding"
"11732020_at"	NA	NA
"11732021_x_at"	"SMTN"	"protein_coding"
"11732022_a_at"	"TTC25"	"protein_coding"
"11732023_at"	"KCNK15"	"protein_coding"
"11732024_a_at"	"MAMDC4"	"protein_coding"
"11732025_at"	"ANGPTL5"	"protein_coding"
"11732026_a_at"	"CRIP3"	"protein_coding"
"11732027_at"	NA	NA
"11732028_at"	"AVP"	"protein_coding"
"11732029_a_at"	NA	NA
"11732030_at"	NA	NA
"11732031_at"	"OTOS"	"protein_coding"
"11732032_a_at"	"HMGA2"	"protein_coding"
"11732033_at"	"NAT8B"	"polymorphic_pseudogene"
"11732034_at"	"GHRH"	"protein_coding"
"11732035_at"	"CFAP46"	"protein_coding"
"11732036_x_at"	"C1QTNF7"	"protein_coding"
"11732037_a_at"	"PTPN12"	"protein_coding"
"11732038_a_at"	"RDH16"	"protein_coding"
"11732039_at"	"TPD52L3"	"protein_coding"
"11732041_a_at"	"MMD2"	"protein_coding"
"11732042_a_at"	"MMD2"	"protein_coding"
"11732043_a_at"	"DMBT1"	"protein_coding"
"11732044_at"	"FBLN1"	"protein_coding"
"11732045_a_at"	"KRT85"	"protein_coding"
"11732046_at"	"KRT85"	"protein_coding"
"11732047_a_at"	"MMP17"	"protein_coding"
"11732048_at"	"RXFP3"	"protein_coding"
"11732051_at"	"C12orf77"	"lincRNA"
"11732052_at"	NA	NA
"11732053_a_at"	"CLEC4F"	"protein_coding"
"11732054_at"	"CLEC4F"	"protein_coding"
"11732055_s_at"	NA	NA
"11732056_a_at"	"SNRNP35"	"protein_coding"
"11732057_a_at"	"CDC7"	"protein_coding"
"11732058_a_at"	"CDC7"	"protein_coding"
"11732059_a_at"	"LARP1B"	"protein_coding"
"11732060_a_at"	NA	NA
"11732061_at"	NA	NA
"11732062_a_at"	"CDCP1"	"protein_coding"
"11732063_a_at"	"C22orf15"	"protein_coding"
"11732064_a_at"	"C2orf82"	"protein_coding"
"11732065_a_at"	"RIPPLY2"	"protein_coding"
"11732066_a_at"	"C1orf94"	"protein_coding"
"11732067_at"	"RGAG1"	"protein_coding"
"11732068_a_at"	"CAPN14"	"protein_coding"
"11732069_at"	"GPR88"	"protein_coding"
"11732070_at"	"KCNK13"	"protein_coding"
"11732071_at"	"SLC16A8"	"protein_coding"
"11732072_a_at"	"ARL6"	"protein_coding"
"11732073_x_at"	"ARL6"	"protein_coding"
"11732074_a_at"	NA	"protein_coding"
"11732075_s_at"	"PTPN20"	"protein_coding"
"11732076_x_at"	"M1AP"	"protein_coding"
"11732077_at"	NA	NA
"11732078_a_at"	"EVA1A"	"protein_coding"
"11732079_at"	"POM121L12"	"protein_coding"
"11732080_a_at"	"FSD1L"	"protein_coding"
"11732081_a_at"	"STOML3"	"protein_coding"
"11732082_s_at"	"STOML3"	"protein_coding"
"11732083_a_at"	"STOML3"	"protein_coding"
"11732084_a_at"	"TFEC"	"protein_coding"
"11732085_a_at"	NA	NA
"11732086_a_at"	"OTOF"	"protein_coding"
"11732087_a_at"	NA	NA
"11732088_a_at"	"ISX"	"protein_coding"
"11732089_a_at"	"ISX"	"protein_coding"
"11732090_s_at"	"IZUMO1"	"protein_coding"
"11732091_a_at"	NA	NA
"11732092_at"	"FOXE3"	"protein_coding"
"11732093_a_at"	"PEX16"	"protein_coding"
"11732094_a_at"	"PYY"	"protein_coding"
"11732095_a_at"	"TTC8"	"protein_coding"
"11732096_at"	"TIFAB"	"protein_coding"
"11732097_a_at"	"CDC14A"	"protein_coding"
"11732098_x_at"	NA	NA
"11732099_a_at"	NA	NA
"11732100_a_at"	NA	NA
"11732101_at"	"IQCF6"	"protein_coding"
"11732102_at"	"OPRPN"	"protein_coding"
"11732103_s_at"	"HIST1H3H"	"protein_coding"
"11732104_a_at"	"TMEM208"	"protein_coding"
"11732105_at"	"TMEM208"	"protein_coding"
"11732106_a_at"	NA	NA
"11732107_a_at"	"CYP1A2"	"protein_coding"
"11732108_x_at"	NA	NA
"11732109_at"	"FGF10"	"protein_coding"
"11732110_a_at"	"IL4I1"	"protein_coding"
"11732111_a_at"	"TNFRSF21"	"protein_coding"
"11732112_at"	"IL17A"	"protein_coding"
"11732113_at"	"IL17A"	"protein_coding"
"11732114_at"	"CYP2A13"	"protein_coding"
"11732115_at"	"KRTAP19-5"	"protein_coding"
"11732116_x_at"	"KRTAP19-5"	"protein_coding"
"11732118_a_at"	"USP10"	"protein_coding"
"11732119_a_at"	"USP10"	"protein_coding"
"11732120_a_at"	"DBN1"	"protein_coding"
"11732121_a_at"	"PMPCB"	"protein_coding"
"11732122_at"	NA	NA
"11732123_a_at"	NA	NA
"11732124_a_at"	NA	NA
"11732125_s_at"	NA	NA
"11732126_x_at"	NA	NA
"11732127_a_at"	NA	NA
"11732128_s_at"	NA	NA
"11732129_at"	"BRD8"	"protein_coding"
"11732130_x_at"	"EIF4E"	"protein_coding"
"11732131_x_at"	"IDS"	"protein_coding"
"11732132_a_at"	"IDS"	"protein_coding"
"11732133_a_at"	NA	NA
"11732134_a_at"	"PLRG1"	"protein_coding"
"11732135_a_at"	"COQ8A"	"protein_coding"
"11732136_a_at"	"SHC1"	"protein_coding"
"11732137_at"	NA	NA
"11732138_at"	NA	NA
"11732139_at"	NA	NA
"11732140_at"	"COX16"	"protein_coding"
"11732141_a_at"	NA	NA
"11732142_at"	NA	NA
"11732143_at"	NA	NA
"11732144_a_at"	"BBS2"	"protein_coding"
"11732145_a_at"	"PSMD8"	"protein_coding"
"11732146_x_at"	"PSMD8"	"protein_coding"
"11732147_a_at"	"CAT"	"protein_coding"
"11732148_at"	"CAT"	"protein_coding"
"11732149_a_at"	NA	NA
"11732150_x_at"	NA	NA
"11732151_a_at"	NA	NA
"11732152_a_at"	NA	NA
"11732153_a_at"	"ZDHHC6"	"protein_coding"
"11732154_at"	"OGT"	"protein_coding"
"11732155_a_at"	"OGT"	"protein_coding"
"11732156_a_at"	"UFM1"	"protein_coding"
"11732157_x_at"	"UFM1"	"protein_coding"
"11732158_a_at"	"ADAMTS1"	"protein_coding"
"11732159_a_at"	NA	NA
"11732160_a_at"	"NUDCD1"	"protein_coding"
"11732162_at"	NA	NA
"11732163_x_at"	NA	NA
"11732164_a_at"	"LMF1"	"protein_coding"
"11732165_x_at"	"LMF1"	"protein_coding"
"11732166_a_at"	"LMF1"	"protein_coding"
"11732167_a_at"	NA	NA
"11732168_x_at"	NA	NA
"11732169_a_at"	"PTPN7"	"protein_coding"
"11732170_a_at"	"GRSF1"	"protein_coding"
"11732171_x_at"	"GRSF1"	"protein_coding"
"11732172_at"	"ABT1"	"protein_coding"
"11732173_a_at"	"FANCF"	"protein_coding"
"11732174_a_at"	"FANCF"	"protein_coding"
"11732175_s_at"	"FANCF"	"protein_coding"
"11732176_a_at"	"ALG8"	"protein_coding"
"11732177_s_at"	NA	NA
"11732178_a_at"	NA	NA
"11732179_x_at"	NA	NA
"11732180_a_at"	"PTAFR"	"protein_coding"
"11732181_x_at"	"PTAFR"	"protein_coding"
"11732182_at"	"SLC35E4"	"protein_coding"
"11732183_x_at"	"SLC35E4"	"protein_coding"
"11732184_a_at"	"PAPOLG"	"protein_coding"
"11732185_s_at"	"PAPOLG"	"protein_coding"
"11732186_at"	"CSRP3"	"protein_coding"
"11732187_s_at"	NA	NA
"11732188_at"	"PI4K2A"	"protein_coding"
"11732189_at"	"NOTCH2"	"protein_coding"
"11732190_at"	"NOTCH2"	"protein_coding"
"11732191_s_at"	"RAD51AP1"	"protein_coding"
"11732192_a_at"	"RAD51AP1"	"protein_coding"
"11732193_a_at"	"MLF1"	"protein_coding"
"11732194_s_at"	"KPNA4"	"protein_coding"
"11732195_at"	"KPNA4"	"protein_coding"
"11732196_x_at"	"KPNA4"	"protein_coding"
"11732197_s_at"	"PLAGL2"	"protein_coding"
"11732198_at"	"PLAGL2"	"protein_coding"
"11732199_at"	"PLAGL2"	"protein_coding"
"11732200_at"	"PLAGL2"	"protein_coding"
"11732201_a_at"	"TMEM39A"	"protein_coding"
"11732202_s_at"	"TMEM39A"	"protein_coding"
"11732203_at"	"KPNA5"	"protein_coding"
"11732204_a_at"	"NAP1L1"	"protein_coding"
"11732205_x_at"	"NAP1L1"	"protein_coding"
"11732206_a_at"	"NAP1L1"	"protein_coding"
"11732207_a_at"	"GLRA2"	"protein_coding"
"11732208_at"	"MON2"	"protein_coding"
"11732209_a_at"	"MON2"	"protein_coding"
"11732210_a_at"	"MON2"	"protein_coding"
"11732211_a_at"	"ZKSCAN1"	"protein_coding"
"11732212_at"	"ZKSCAN1"	"protein_coding"
"11732213_x_at"	"ZKSCAN1"	"protein_coding"
"11732214_at"	"ZKSCAN1"	"protein_coding"
"11732215_a_at"	"PEF1"	"protein_coding"
"11732216_s_at"	NA	NA
"11732217_a_at"	"BID"	"protein_coding"
"11732218_x_at"	"BID"	"protein_coding"
"11732219_a_at"	NA	NA
"11732220_a_at"	NA	NA
"11732221_at"	"CRH"	"protein_coding"
"11732223_x_at"	"ZP3"	"protein_coding"
"11732224_a_at"	NA	NA
"11732225_a_at"	NA	NA
"11732226_s_at"	NA	NA
"11732227_a_at"	"PEX10"	"protein_coding"
"11732228_s_at"	NA	NA
"11732229_a_at"	"NEUROD6"	"protein_coding"
"11732230_a_at"	"NEUROD6"	"protein_coding"
"11732231_a_at"	NA	NA
"11732232_x_at"	"ORAI2"	"protein_coding"
"11732233_a_at"	"RND1"	"protein_coding"
"11732234_a_at"	"RND1"	"protein_coding"
"11732235_a_at"	NA	NA
"11732236_a_at"	NA	NA
"11732237_a_at"	NA	NA
"11732238_a_at"	"TMEM259"	"protein_coding"
"11732239_x_at"	"TMEM259"	"protein_coding"
"11732240_a_at"	"SLITRK6"	"protein_coding"
"11732241_s_at"	"SLITRK6"	"protein_coding"
"11732242_a_at"	"PLK4"	"protein_coding"
"11732243_at"	"APOL6"	"protein_coding"
"11732244_at"	"APOL6"	"protein_coding"
"11732245_a_at"	"APOL6"	"protein_coding"
"11732246_a_at"	"HNRNPC"	"protein_coding"
"11732247_s_at"	"HNRNPC"	"protein_coding"
"11732248_at"	"NR2F1"	"protein_coding"
"11732249_a_at"	"RCOR3"	"protein_coding"
"11732250_x_at"	"RCOR3"	"protein_coding"
"11732251_s_at"	"RCOR3"	"protein_coding"
"11732252_x_at"	"RCOR3"	"protein_coding"
"11732253_x_at"	"MED18"	"protein_coding"
"11732254_a_at"	"MED18"	"protein_coding"
"11732255_at"	"ZBTB33"	"protein_coding"
"11732256_at"	NA	NA
"11732257_at"	NA	"protein_coding"
"11732258_s_at"	"SH3RF1"	"protein_coding"
"11732259_at"	"SH2D4A"	"protein_coding"
"11732260_a_at"	"TOPORS"	"protein_coding"
"11732261_a_at"	"RRAGB"	"protein_coding"
"11732262_a_at"	"FSCN3"	"protein_coding"
"11732263_a_at"	"RAB11FIP3"	"protein_coding"
"11732264_a_at"	"OLFM2"	"protein_coding"
"11732265_at"	NA	NA
"11732266_x_at"	NA	NA
"11732267_s_at"	"SNX6"	"protein_coding"
"11732268_a_at"	"KLHL40"	"protein_coding"
"11732269_a_at"	"CASD1"	"protein_coding"
"11732270_a_at"	"CASD1"	"protein_coding"
"11732271_at"	NA	NA
"11732272_at"	NA	NA
"11732273_at"	"COA7"	"protein_coding"
"11732274_at"	"ELMOD2"	"protein_coding"
"11732275_at"	NA	NA
"11732276_x_at"	NA	NA
"11732277_a_at"	"FOXP1"	"protein_coding"
"11732278_at"	"FOXP1"	"protein_coding"
"11732279_at"	"FOXP1"	"protein_coding"
"11732280_a_at"	"FOXP1"	"protein_coding"
"11732281_s_at"	"FOXP1"	"protein_coding"
"11732282_a_at"	NA	NA
"11732283_x_at"	NA	NA
"11732284_x_at"	"HSH2D"	"protein_coding"
"11732285_at"	"DZIP3"	"protein_coding"
"11732286_a_at"	"DZIP3"	"protein_coding"
"11732287_at"	"DZIP3"	"protein_coding"
"11732288_at"	"TRMT61A"	"protein_coding"
"11732289_at"	"TRMT61A"	"protein_coding"
"11732290_at"	"TRMT61A"	"protein_coding"
"11732291_a_at"	NA	NA
"11732292_a_at"	"MTMR2"	"protein_coding"
"11732293_a_at"	"MTMR2"	"protein_coding"
"11732294_a_at"	"ZNF566"	"protein_coding"
"11732295_at"	"ZNF566"	"protein_coding"
"11732296_at"	"CER1"	"protein_coding"
"11732297_at"	"LNPK"	"protein_coding"
"11732298_a_at"	"LNPK"	"protein_coding"
"11732299_at"	"LNPK"	"protein_coding"
"11732300_at"	"LNPK"	"protein_coding"
"11732301_at"	"IL23A"	"protein_coding"
"11732302_a_at"	NA	NA
"11732303_a_at"	NA	NA
"11732304_a_at"	NA	NA
"11732305_a_at"	"CREB1"	"protein_coding"
"11732306_x_at"	NA	NA
"11732307_a_at"	"METTL21A"	"protein_coding"
"11732308_a_at"	"ZNF777"	"protein_coding"
"11732309_x_at"	"ZNF777"	"protein_coding"
"11732310_a_at"	"CTU2"	"protein_coding"
"11732311_a_at"	"ANKRD13C"	"protein_coding"
"11732312_a_at"	"ANKRD13C"	"protein_coding"
"11732313_at"	"ANKRD13C"	"protein_coding"
"11732314_at"	NA	NA
"11732315_a_at"	"SGCD"	"protein_coding"
"11732316_a_at"	"SGCD"	"protein_coding"
"11732317_a_at"	"SGCD"	"protein_coding"
"11732318_a_at"	"KHDRBS3"	"protein_coding"
"11732319_a_at"	"GPR1"	"protein_coding"
"11732320_a_at"	"ZNF92"	"protein_coding"
"11732321_a_at"	"PLAT"	"protein_coding"
"11732322_at"	"FXN"	"protein_coding"
"11732323_at"	"FXN"	"protein_coding"
"11732324_at"	NA	NA
"11732325_at"	NA	NA
"11732326_x_at"	"PBLD"	"protein_coding"
"11732327_a_at"	"RBM26"	"protein_coding"
"11732328_a_at"	"RBM26"	"protein_coding"
"11732329_a_at"	"MAP7D1"	"protein_coding"
"11732330_s_at"	"MAP7D1"	"protein_coding"
"11732331_s_at"	"ARL4C"	"protein_coding"
"11732332_at"	NA	NA
"11732333_at"	NA	NA
"11732334_s_at"	"SEC31A"	"protein_coding"
"11732335_at"	NA	NA
"11732336_at"	NA	NA
"11732337_x_at"	"BCAS1"	"protein_coding"
"11732338_a_at"	"KAT8"	"protein_coding"
"11732339_at"	"BCL11A"	"protein_coding"
"11732340_at"	"BCL11A"	"protein_coding"
"11732341_at"	"BCL11A"	"protein_coding"
"11732343_at"	"ZNF33A"	"protein_coding"
"11732344_at"	"ZNF33A"	"protein_coding"
"11732345_x_at"	"ZNF33A"	"protein_coding"
"11732346_at"	"ZNF33A"	"protein_coding"
"11732347_a_at"	"TCF20"	"protein_coding"
"11732348_a_at"	"TCF20"	"protein_coding"
"11732349_at"	NA	NA
"11732350_a_at"	"CCNA1"	"protein_coding"
"11732351_at"	"HGF"	"protein_coding"
"11732352_a_at"	"SAC3D1"	"protein_coding"
"11732353_s_at"	"NT5C3B"	"protein_coding"
"11732354_a_at"	NA	NA
"11732355_x_at"	NA	NA
"11732356_at"	NA	NA
"11732357_s_at"	"ZNRF1"	"protein_coding"
"11732358_x_at"	"ZNRF1"	"protein_coding"
"11732359_a_at"	NA	NA
"11732360_a_at"	"CTPS2"	"protein_coding"
"11732361_a_at"	"CTPS2"	"protein_coding"
"11732362_x_at"	"ZNF44"	"protein_coding"
"11732363_x_at"	"ZNF2"	"protein_coding"
"11732364_a_at"	"ZNF2"	"protein_coding"
"11732365_a_at"	"NT5C3A"	"protein_coding"
"11732366_a_at"	"SCAPER"	"protein_coding"
"11732367_a_at"	NA	NA
"11732368_a_at"	NA	NA
"11732369_a_at"	NA	NA
"11732370_a_at"	"CUX1"	"protein_coding"
"11732371_at"	NA	NA
"11732372_a_at"	"CLIC5"	"protein_coding"
"11732373_a_at"	"TSEN34"	"protein_coding"
"11732374_x_at"	"HSD17B7"	"protein_coding"
"11732375_a_at"	"HTATIP2"	"protein_coding"
"11732376_a_at"	"TBC1D19"	"protein_coding"
"11732377_a_at"	"BROX"	"protein_coding"
"11732378_at"	"C5orf47"	"protein_coding"
"11732379_a_at"	"DXO"	"protein_coding"
"11732380_at"	"NPFFR1"	"protein_coding"
"11732381_a_at"	"USP6NL"	"protein_coding"
"11732382_a_at"	"USP6NL"	"protein_coding"
"11732383_a_at"	"CDHR1"	"protein_coding"
"11732384_a_at"	"FBXO46"	"protein_coding"
"11732385_a_at"	NA	NA
"11732386_at"	"TCEANC2"	"protein_coding"
"11732387_a_at"	"TCEANC2"	"protein_coding"
"11732388_at"	"TCEANC2"	"protein_coding"
"11732389_a_at"	"DYNC2LI1"	"protein_coding"
"11732390_a_at"	NA	NA
"11732391_a_at"	"EHMT2"	"protein_coding"
"11732392_x_at"	"TPI1"	"protein_coding"
"11732393_a_at"	NA	NA
"11732394_at"	NA	NA
"11732395_a_at"	"NHLRC2"	"protein_coding"
"11732396_a_at"	NA	NA
"11732397_a_at"	NA	NA
"11732398_a_at"	"ZNF326"	"protein_coding"
"11732399_a_at"	NA	NA
"11732400_x_at"	NA	NA
"11732401_a_at"	"DKK4"	"protein_coding"
"11732402_a_at"	"UBAC1"	"protein_coding"
"11732403_a_at"	NA	NA
"11732404_a_at"	NA	NA
